"1","lines with words with a number , 4 or more times and a character","\ b ( ( [ <NUM> ] ) { 4 , } ) & ( . ) \ b","p","p","p","p","p","n","n","n","n","n"
"2","lines with words with a character followed by a vowel","\ b . . * [ <VOW> ] . * \ b","p","p","p","p","p","n","n","n","n","n"
"3","lines ending with words with a character 6 times","( . * ) ( \ b ( . ) { 6 , } \ b )","p","p","p","p","p","n","n","n","n","n"
"4","lines with words with string <M0> and <M1> or a number","\ b ( ( <M0> ) & ( <M1> ) ) | ( [ <NUM> ] ) \ b","p","p","p","p","p","n","n","n","n","n"
"5","lines with the string <M0> before a letter and string <M0>","( <M0> . * [ <LET> ] . * ) & ( ( <M1> ) + )","p","p","p","p","p","n","n","n","n","n"
"6","lines containing a character , the string <M0> , and a letter in them",". * ( . ) & ( <M0> ) & ( [ <LET> ] ) . *","p","p","p","p","p","n","n","n","n","n"
"7","lines with words with either a capital letter , a lower-case letter , or a character","\ b ( [ <CAP> ] ) | ( [ <LOW> ] ) | ( . ) \ b","p","p","p","p","p","n","n","n","n","n"
"8","lines with a vowel or a number , 3 or more times","( ( [ <VOW> ] ) | ( [ <NUM> ] ) ) { 3 , }","p","p","p","p","p","n","n","n","n","n"
"9","lines with letters after numbers","[ <NUM> ] . * [ <LET> ] . *","p","p","p","p","p","n","n","n","n","n"
"10","lines with a number or the string <M0> before the string <M1>","( ( [ <NUM> ] ) | ( <M0> ) ) . * ( <M1> ) . *","p","p","p","p","p","n","n","n","n","n"
"11","lines with words and the string dog at least 6 times","\ b ( <M0> ) { 6 , } \ b","p","p","p","p","p","n","n","n","n","n"
"12","lines with words with a number , 5 or more times","\ b ( [ <NUM> ] ) { 5 , } \ b","p","p","p","p","p","n","n","n","n","n"
"13","lines with a character after a letter , the string <M0> , or the string <M1>","( ( [ <LET> ] ) | ( <M0> ) | ( <M1> ) ) . * ( . ) . *","p","p","p","p","p","n","n","n","n","n"
"14","lines with a number before 5 of the strings <M0>","( [ <NUM> ] . * <M0> . * ) { 5 , }","p","p","p","p","p","n","n","n","n","n"
"15","lines with the string <M0> and <M1> or a character","( . * <M0> . * ) & ( ( <M1> ) | ( . ) )","p","p","p","p","p","n","n","n","n","n"
"16","lines with words that contain a lower-case letter followed by a letter","\ b . * [ <LOW> ] . * [ <LET> ] . * . * \ b","p","p","p","p","p","n","n","n","n","n"
"17","lines having words containing a letter or the string <M0> , 7 times or more","( \ b ( [ <LET> ] ) | ( <M0> ) \ b ) { 7 , }","p","p","p","p","p","n","n","n","n","n"
"18","lines with a letter followed by the string <M0> , 2 or more times","( [ <LET> ] . * <M0> . * ) { 2 , }","p","p","p","p","p","n","n","n","n","n"
"19","lines not containing a vowel , 3 or more times","( . * ~ ( [ <VOW> ] ) . * ) { 3 , }","p","p","p","p","p","n","n","n","n","n"
"20","lines with 7 or more of the string <M0> and letter","( . * ( <M0> ) & ( [ <LET> ] ) . * ) { 7 , }","p","p","p","p","p","n","n","n","n","n"
"21","lines with a lower-case letter followed by the string <M0> at least once","( [ <LOW> ] . * <M0> . * ) +","p","p","p","p","p","n","n","n","n","n"
"22","lines with the string <M0> , <M1> , and <M2> before a vowel","( ( <M0> ) & ( <M1> ) & ( <M2> ) ) . * ( [ <VOW> ] ) . *","p","p","p","p","p","n","n","n","n","n"
"23","lines not having the string <M0> followed by a letter","~ ( <M0> . * [ <LET> ] . * )","p","p","p","p","p","n","n","n","n","n"
"24","lines with the string <M0> , a character , or a number after a vowel","( [ <VOW> ] ) . * ( ( <M0> ) | ( . ) | ( [ <NUM> ] ) ) . *","p","p","p","p","p","n","n","n","n","n"
"25","lines containing the string <M0> preceding a character","\ b <M0> . * . . * \ b","p","p","p","p","p","n","n","n","n","n"
"26","lines with words with a vowel and a lower-case letter , zero or more times","( \ b ( [ <VOW> ] ) & ( [ <LOW> ] ) \ b ) *","p","p","p","p","p","n","n","n","n","n"
"27","lines having either the string <M0> , a capital letter , or a number before a lower-case letter","( ( <M0> ) | ( [ <CAP> ] ) | ( [ <NUM> ] ) ) . * ( [ <LOW> ] ) . *","p","p","p","p","p","n","n","n","n","n"
"28","lines with the string <M0> before either a capital letter , a number , or the string <M1>","( <M0> ) . * ( ( [ <CAP> ] ) | ( [ <NUM> ] ) | ( <M1> ) ) . *","p","p","p","p","p","n","n","n","n","n"
"29","items with a numeral preceding <M0> and an upper case letter .","( [ <NUM> ] ) . * ( ( <M0> ) & ( [ <CAP> ] ) ) . *","p","p","p","p","p","n","n","n","n","n"
"30","lines with words with a capital letter before the string <M0>","\ b ( [ <CAP> ] ) . * ( <M0> ) . * \ b","p","p","p","p","p","n","n","n","n","n"
"31","lines with a letter or containing the string <M0> , zero or more times","( ( [ <LET> ] ) | ( . * <M0> . * ) ) *","p","p","p","p","p","n","n","n","n","n"
"32","lines with the string <M0> at least once and a vowel , a character , and the string <M1>","( ( <M0> ) + ) & ( ( [ <VOW> ] ) & ( . ) & ( <M1> ) )","p","p","p","p","p","n","n","n","n","n"
"33","lineswhich are  not having the string <M0> or starting with a character","( ~ ( <M0> ) ) | ( ( . ) ( . * ) )","p","p","p","p","p","n","n","n","n","n"
"34","lines with the string <M0> before a character , 3 or more times","( <M0> ) . * ( ( . ) { 3 , } ) . *","p","p","p","p","p","n","n","n","n","n"
"35","lines that have a lower-case letter , the word "dog' , and any vowel",". * ( [ <LOW> ] ) & ( <M0> ) & ( [ <VOW> ] ) . *","p","p","p","p","p","n","n","n","n","n"
"36","lines with the string <M0> before a capital letter , 5 or more times","( <M0> ) . * ( ( [ <CAP> ] ) { 5 , } ) . *","p","p","p","p","p","n","n","n","n","n"
"37","lines with the string <M0> or <M1> or a number before a capital letter","( ( <M0> ) | ( [ <NUM> ] ) | ( <M1> ) ) . * ( [ <CAP> ] ) . *","p","p","p","p","p","n","n","n","n","n"
